,Topic,Pledge
60,14,"Arctur`s Tourism 4.0 is a partner in two Digital Europe projects:_x000D_
i) Dates - data spaces for tourism (duration 12 months)_x000D_
ii) 5D Culture - data spaces for heritage projects (24 months)_x000D_
Both projects are preparatory activities._x000D_
Dates with exploring approaches and options for the deployment of a secure and trusted tourism data space, ensuring transparent control of data access, use and re-use. Focus is on the development of governance and business models while providing a shared roadmap that will ensure the coordination of the tourism ecosystem stakeholders and the connection between data ecosystems at the EU level and interconnected data spaces in other sectors.  5D Culture focuses on exploring different reuse dimensions of the 3D content, in total demonstrating different scenarios._x000D_
 _x000D_
Arctur itself is leading the Tourism 4.0 initiative with 200+ international partners. One of the T4.0 Innovations is Tourism 4.0 Core - a semantically organised data storage, where applications store their data. It includes tools for search and merging of data and supports secure exchange of enriched data between stakeholders. Use of joint data catalogue enables discovery, search, understanding and increases trust in data. T4.0 Core supports sustainable development of services and products, improves interaction of stakeholders in development, and increases added value of services. _x000D_
More: https://tourism4-0.org/core/_x000D_
_x000D_
Target for 2023: Actively contribute with the Tourism 4.0 knowledge to the development of the EU Code of Conduct for digital data sharing._x000D_
Target for 2025: The tourism 4.0 ecosystem (of 200+ partners) will use the agreed EU Code of Conduct for digital data sharing in the tourism data space."
61,5,"As a newly established NTO has been functioning only year and a half, the aim is to strengthen its  position on domestic and international target markets.  From this point of view building and development of the organizational structure of NTO is essential. The next step will be creation of thematic tourism product management. As a target for 2025, NTO plans to prepare 4-8 thematic product lines for marketing and sales activities. In the process of creating the product lines we make efforts to include the principles of sustainability – as using regional products and sources, supporting local communities, creating authentic offers and deliverying exceptional tourism experience._x000D_
It will be supported by effective networking of DMO´s, professional organisations and tourism stakeholders. _x000D_
_x000D_
In order to ensure collaborative governance of tourism destinations, we support cooperation of professional tourism organizations at all levels (NTO, 8 regional tourism organizations and 39 district tourism organizations - DMOs). In the field of the cooperation of DMOs, we encourage them to become a member of the professional association of DMOs which can provide them opportunities for collective action and communication toward government entities and other tourism stakeholders on regular basis. Another key objective is to provide support for increase in number of active DMCs and incoming sales entities to enable the increased sales of tourism products.  _x000D_
_x000D_
All actions mentioned above shoud be supported by cooperation between all tourism entities,  including the public sector and local residents, as well. At least once a year a professional gathering organized by NTO is planned to provide opportunities to discuss on various topics and to improve activities by information exchange of best practices from abroad and from Slovak regions. A regular online education trainings are planned for DMO´s on selected topics._x000D_
The only way how to succeed is to ensure sustainable cooperation between all tourism stakeholders."
62,5,"Turismo Andaluz Smart Data department aggregates official data and non-official data (open and big data) in order to offer it and to support Andalusian destinations and SMEs. _x000D_
Among other projects, and in relation to collaborative governance of tourism destinations, Turismo Andaluz have participated in MITOMED+, an Interreg MED project implementing system of indicators for measuring sustainability at local level, involving more than 15 destinations all over MED Europe to implement data-supported destination management models. _x000D_
Turismo Andaluz is member of the UNWTO working group ""Measuring Sustainable Tourism"" and Committee of Statistics and Tourism Satellite Accounts. Recently, the UN Statistical Commission has encouraged the finalization of the Statistical Framework for Measuring the Sustainability of Tourism for future submission to the Commission. _x000D_
Andalucía is one of the group of NECSTouR Regions defining and launching ""Tourism of Tomorrow Lab"" from the S3 Platform for Digitalisation and Safety for Tourism. Turismo Andaluz is managing the resulting investment project of the S3P for Tourism: Tourism of Tomorrow Lab, which is now a NECSTouR department. We are working to mainstream EU priorities to tourism players with data-related solutions to adapt to the EU green deal, the EU climate Law, the SDGs and the target of become climate neutral by 2050._x000D_
Andalusia collaborates with other tourism destinations (Catalonia, Navarra and Valencia) in the European Commission Structural Reform Support Service for the tourism ecosystem: towards a more sustainable, resilient and digital tourism. This support will offer measures to assist the sustainable and innovative recovery and development of tourism with improved evidence base and monitoring framework for the tourism ecosystem. It will develop and collect suitable indicators to steer and monitor the progress towards green and digital transition of European tourism._x000D_
By 2025 Andalusia commits to share the outputs DG Reform Support Service (joint methodology and results of the pilot in Andalusia) in, at least, 3 international events including meetings of the UNWTO working group, Measuring Sustainable Tourism."
63,5,"We actively contribute to the creation of a local tourism governance by offering our technical knowledge in sustainable tourism to different actors in our region. For instance, we contributed as jurors to the Sustainability Award of the Fair, an award tailored to connect and give visibility to sustainability-oriented SMEs in the hospitality and food service sector. In the 2021 edition, 63 businesses were participating and the winner obtained a marketing voucher of the value of 10.000 € financed by the local DMO( see: https://www.fierabolzano.it/de/hotel/sustainability-award-hotel-2021). We have co-developed this award and its evaluation criteria and we plan to work on it in the long term, to refine these evaluation and to identify mechanisms to foster a multiplier effect in tourism businesses."
64,5,"In order to restore Île-de-France's position as the world's leading tourism destination, the Region proposes to set up a Destination Committee, bringing together professionals, territories and institutions to strengthen dialogue between them._x000D_
_x000D_
_x000D_
Depuis le début de la crise sanitaire, le renforcement du dialogue entre la Région et l’ensemble des acteurs du tourisme a été un objectif constant. Forte de cet engagement et des contributions des acteurs exprimées lors des phases de concertation, la Région entend conforter ce dialogue, levier essentiel de la capacité collective de résilience de l’écosystème du tourisme francilien._x000D_
Il s’agit d’accompagner de très près la transition durable et digitale de l’économie touristique régionale et de redonner à l’Île-de-France sa place de première destination mondiale du tourisme. En ce sens, la Région propose, sur une suggestion des acteurs du territoire lors des phases de concertation de la co-construction du nouveau Schéma régional de développement du tourisme et de loisirs, de mettre en place un Comité de destination, rassemblant les professionnels, les territoires franciliens et les institutionnels de la destination. Ce comité, qui sera réuni a minima annuellement, aura plusieurs objectifs :_x000D_
- Faire le point sur la fréquentation touristique et ses évolutions, afin d’adapter la stratégie régionale et celles des partenaires territoriaux locaux si cela s’avère nécessaire ;_x000D_
- Mobiliser les partenaires institutionnels et professionnels de la Région pour participer de façon concrète à la mise en œuvre du Schéma régional de développement du tourisme et des loisirs, dans le respect des stratégies de chacun et au plus près des besoins des professionnels de la destination ;_x000D_
- Partager les éléments d’évaluation d’un certain nombre d’actions partenariales."
65,5,"In Estonia, new structure of regional DMO network is being created currently. The general objectives of the DMO restructuring program are that numerous tiny tourism organizations would consolidate into fewer strategically managed development organizations of Estonian tourist destinations and that there would be effective cooperation between the parties in the Estonian tourism sector. Totally nearly 8 million euros of state funding is allocated for development of DMO-s for years 2022-2025. _x000D_
_x000D_
Expected results of the program are:_x000D_
- Satisfaction of visitors with the quality of tourism services in the region has risen_x000D_
- Visitor satisfaction for the availability of information online has risen_x000D_
- There is an optimal number of DMOs in Estonia (5-8) that have optimal size (400-600 enterprizes per DMO)_x000D_
- Regional tourism cooperation network is satisfied with the DMO operating models_x000D_
- Addition of sustainable tourism companies_x000D_
- Number of products based on the network and corresponding to the messages of the Estonian brand in the field of tourism has risen_x000D_
- Development activities organized by the DMO for the service providers in the area are useful_x000D_
- Estonian Tourism Board is satisfied with the cooperation with DMO-s"
66,5,"Our approach is twofold: enable collaborative destination governance mechanism and empowering them to measure tourism success according to values beyond traditional volumes:_x000D_
_x000D_
1)	Through the personalised tourism-data consultancy delivered by the Tourism of Tomorrow Lab to at least 4 pilot regions in 2022,  these regions who will acquire experience in measuring tourism impacts as a structural decision making policy will trigger change to less experienced destinations through the collaborative knowledge framework offered through the network. As mentioned, through the project « Support to the tourism ecosystem: towards a more sustainable, resilient, and digital tourism” we expect to easy the integration of sustainable tourism measurability, more and more progressively, into the destination management models._x000D_
_x000D_
1.	By transforming the “Better Places to Live, Better Places to Visit” principles into policy measures and projects. NECSTouR signed the Barcelona Declaration in April 2018.  Better Places to Live, Better Places to Visit which aims at balancing the uses of cultural heritage and other territorial assets by the residents, the visitors, and the tourism businesses. It proposes five key principles addressing aspects related to governance, sense of belonging, promotion, measurability, and interpersonal relations to be endorsed by tourism as well as the cultural and other related stakeholders. It shows the consensus of key stakeholders committed to demonstrate what tourism and cultural heritage sectors can achieve by working more closely together, for the benefit of European citizens and cultural heritage as well as businesses, visitors, and destinations, in line with the SDGs. This is why NECSTouR Regions keeps identifying examples of turning principles into policy measures and projects. First, through an event in Barcelona in September 2022, aiming at generating exchanges, reflections, and debates on how the wellbeing of the local community and the climate actions needs are driving the transformation of the tourism model and ecosystem, moving from sustainable to responsible and regenerative tourism. The event will reflect the legacy of the Barcelona declaration “Better places to Live, Better Places to Visit” in NECSTouR members’ strategies, actions, and initiatives. Equally important is the development of interregional pilot projects to build methodologies and test them on the ground. This will be possible if European funding is obtained."
67,5,"We are working towards collaborating with the metropolis local council to include tourism topics in the Municipal Advisory Council  (Conseil communal consultatif ) which aims at consulting and engaging with local residents on important city topics. _x000D_
Topics could be : the transition to sustainability for events through legacy & heritage, waste collection generated by hoteliers & restaurants, participating democracy with local citizen's pov on tourism in the metropolis...._x000D_
Our target for 2025 is implementing our current sustainability policy & collecting data from these council meetings in order to adapt them and integrate them into our tourism strategy for 2030."
68,5,"Development of Destination Management System (DMS) _x000D_
Trough a set of different tools, Tuscany Region favours the digitisation of Tourism sector, starting from the establishment of data supported destination model. The governence of the regional destination is managed by Laws n. 22/2016 and n. 86/2016 and other regulations. The governance involves Tuscany Region, Toscana Promozione Turistica, Fondazione Sistema Toscana and - at local level - 28 “Ambiti” (associations of municipalities with homogeneous tourism attractions). It also involves Regional Tourism Products (PTO) partnership of public and private offers.  The digital tools available at the moment are:_x000D_
1. MAKE: collaborative digital platform to promote the destination (open to public and private actors)_x000D_
https://make.visittuscany.com/it/_x000D_
2. MAKE IAT: collaborative digital platform to share information with and among Tourism Information Offices managed at local level_x000D_
3. Tuscany Together: digital platform for co-design the Tourism promotion plan._x000D_
Tuscany Region is improving the different tools, aiming at creating a Destination Management System (DMS) able to collect and share data to jointly promote the Destination versus specific targets. DMS will involves public and private actors _x000D_
_x000D_
The activity benefits also from the pariticipation of Tuscany Region to Necstour._x000D_
_x000D_
TARGET 2023-2025_x000D_
Improved the collaborative model and tools to support the destination through:_x000D_
_x000D_
2023:_x000D_
- DMS model designed_x000D_
_x000D_
2025:_x000D_
- DMS used by the actors of the territory_x000D_
_x000D_
- data available and used to redefine destination promotion and management strategies"
69,5,"A collaborative Visitor Management Plan for Scotland:_x000D_
_x000D_
Post lock-down, many local communities felt unprepared to deal with the large increase in visitors, particularly day visitors, campers and campervans. To address some of the negative impacts on communities, VisitScotland led a successful, large-scale collaboration aimed at engaging stakeholders and visitors on responsible enjoyment. _x000D_
_x000D_
Launched in March 2021 with a Responsible Tourism Visitor Pledge, the partnership includes National Park Authorities, Police Scotland, nature, land and transport bodies, as well as local authorities, to provide a robust and practical strategy with short, medium and long-term actions and benefits. _x000D_
_x000D_
Leading a collaborative, cross-organisation approach to marketing and communication, a fully realised campaign has now been delivered to provide information, guidance and education around outdoor access, camping, fire & water safety, motorhomes & campervans, littering & waste. Activity encourages greater access to, and enjoyment of, Scotland's outdoors – especially amongst new audiences – so we all #RespectProtectEnjoy. _x000D_
_x000D_
VisitScotland and partners will continuously update information on the Plan’s actions and impacts in a publicly available strategy framework and action log: _x000D_
_x000D_
https://www.visitscotland.org/about-us/what-we-do/working-in-partnership/visitor-management-plan. _x000D_
_x000D_
This includes reporting at the regular virtual summits of the collaborating stakeholders. As visitor management activity is wide ranging and involves many partners, each organisation involved has its own specific targets and KPIs, all aligned to the overarching strategy. _x000D_
_x000D_
The Visitor Management Action Plan is regularly monitored to ensure progress is being made and activity is supporting the strategy. Success is measured through reduction in issues relating to littering, fires, water safety, anti-social behaviour and inconsiderate parking._x000D_
_x000D_
A strategic framework pulls together the current and planned actions into a cohesive and aligned direction of travel towards a vision of how the visitor experience will develop over a 10-year period. The collective action log records progress against strategic pillars - covering not just VisitScotland as the official tourism organisation, but all partners involved in delivery of the visitor management strategy. _x000D_
_x000D_
A future focus for the visitor management work is on three areas: digital solutions (e.g. monitors of visitor volume); camping and motorhome management and infrastructure; and transport solutions.  These will complement the ongoing work on education, promotion of key messages and support for park rangers (which have been critical to the success of the work to date by engaging on-site with visitors and providing advice and guidance)._x000D_
_x000D_
For all partners, the role of technology in visitor management and visitor experience will become increasingly important as we progress, with current projects already providing learnings for future."
70,6,"AViTeM will contribute to this topic by enhancing its ongoing cooperation work through EU territorial cooperation projects with other organisations, local/regional/national institutions, associations, businesses across Europe and the Mediterranean. For what concerns sustainable mobility, we will explore opportunities to build projects that allow to test solutions based on behavioural science to influence more responsible behaviours when it comes to tourism mobility._x000D_
By 2025/2030, we expect to have produced and tested behavioural science-based solutions related, among other topics, to sustainable tourism mobility. These solutions will be brought to the attention of policy makers at different levels, for their scale-up and adoption in public policies. We will also disseminate them to mobility practitioners for their replication._x000D_
> What is behavioural science and why is it relevant?_x000D_
""Behavioural Science is the systematic study of human behaviour and the design of strategies to intentionally and verifiably change it, leveraging psychological insights and experimental methods from a variety of disciplines, including behavioural economics, psychology, decision science, sociology and neuroscience. In short, it is the science of what we do, why we do it and how we can change it."" (Source: Applied Behavioural Science Academy) _x000D_
Much of what we do to make tourism policies and practices more sustainable depends of human behaviour (visitors flows, seasonality, littering, choice of less sustainable travel options...). The knowledge of the human brain, its functioning and what's behind human behaviours can therefore make a huge difference when we want to encourage a particular behaviour and enhance the sustainability of our tourism services. That's why the application of behavioural science to tourism sustainability has a great potential._x000D_
For example, in the sector of mobility we could test solutions that, after the observation of behaviours, use the related congitive biases to orient the choice of sustainable mobility options, for example by making these the default options."
71,6,"Involvement in EU projects on climate friendly mobility in tourism._x000D_
Working on a monitoring scheme for climate-neutral destinations. Calculating and monitoring the (real! comprehensive) CO2-Footprint of tourism including touristic mobility; developing programs to avoid, reduce and compensate. The methodology should be ready, tested and available by end of 2023._x000D_
Political lobbying for more sustainable transport in tourism."
72,6,"Find sustainable and flexible solutions for multimodal transport and develop policies to protect natural heritage and biodiversity, respecting the socio-cultural authenticity of host communities, ensuring sustainability and bringing socio-economic benefits to all stakeholders._x000D_
_x000D_
Infrastructural adaptation for the strengthening of tourist mobility networks and accessibility to destinations throughout the entire peninsula. Investing in connections through intermodal logistics for cities of art, also through eco-sustainable mobility bonuses, to cultural sites and tourist destinations._x000D_
_x000D_
Increasing the transition to cleaner fuels, low- and zero-emission vehicles where possible, more accessible modes of transport - including for people with disabilities and reduced mobility - and support for mobility as a service and platforms that ensure interoperability and intermodality of ticketing systems._x000D_
_x000D_
Sustainable and flexible solutions for mobility throughout the EU, helping to preserve local natural and urban ecosystems and environments. In order to make citizens aware of sustainable tourism and new cross-border routes, including the completion of tourist mobility networks to help reduce, the gap in connections between northern, central and southern Europe._x000D_
_x000D_
CNA Turismo e Commercio has already started a training cycle for the enterprises on these topics with the involvement of regional and national public decision-makers. The training cycles  will be carried out throughout 2022 and 2023."
73,6,"Advancing Sustainable Mobility in Tourism_x000D_
The Federal Ministry of Labour and Economy of Austria, responsible for Tourism, in cooperation with the responsible Austrian Ministry for Climate Action, have been engaged in and continue to work on the field of fostering sustainable tourism mobility in Austria and Europe._x000D_
•	Sustainable Tourism Mobility Platform: In Austria, both Ministries organise cross-sectoral stakeholder meetings (meetings of the Sustainable Tourism Mobility Platform) twice a year to exchange on current and future challenges, trends and possible solutions in this field. _x000D_
•	Tourism Mobility Day (yearly conference/stakeholder meeting): specific focus areas, exchange of best practice and network building. The 9th Tourism Mobility Day was organised on 5 October 2022 with focus on rural areas; to be continued once a year. _x000D_
•	Working Group on cycle-tourism: regular meetings with stakeholders from the public and private sector from the national and regional level, exchanges and develops knowledge and also organises workshops in the regions (in cooperation withe the Austrian NTO and regional tourism organisations). Three workshops to be organised on capacity building for regions and enterprises until the end of 2022._x000D_
•	THE PEP (UNECE): At the pan-European level both Ministries lead the THE PEP partnership on sustainable tourism mobility. Interested European national administrations from the mobility and tourism sector meet regularly (two times a year) and exchange best practice. Objective to develop a common toolkit and vision of a more sustainable tourism mobility until 2025."
74,6,"DER Touristik offers a free Rail&Fly ticket with every classic package holiday. This means that all DER Touristik travellers can travel free of charge and at no extra cost by train anywhere in Germany from one of the more than 5,600 DB railway stations to the airport and back again. DER Touristik also offers trips within Germany (for example city breaks) by train. The goal is to use no domestic German flights for holiday travel by 2030."
75,6,"""12.5% Sustainable Aviation Fuel by 2030""_x000D_
The use of sustainable aviation fuel (“SAF”) is key to decarbonise the industry in the short to medium term.  SAF can deliver significant CO2 emissions savings and is a promising technology to pursue the achievement of the EU Green Deal’s objectives.  For these reasons, Ryanair committed to an industry-leading 12.5% SAF use in 2030.  In April 2022, we announced a partnership with Neste, a SAF supplier, to power approx. one third of our flights at Amsterdam Airport Schiphol (AMS) with a 40% SAF blend.  This SAF will reduce greenhouse gas emissions by over 60%, supporting Ryanair’s Pathway to Net Zero by 2050 decarbonisation goals.  Ryanair has already significantly advanced this commitment by partnering with Trinity College Dublin to open the Ryanair Sustainable Aviation Research Centre, which was launched in April 2021.  It is composed by 11 engineers and scientists focused on researching SAF, zero carbon aircraft propulsion systems and noise mapping for low-noise aircraft fleets._x000D_
_x000D_
_x000D_
""Target of 60g CO2 pax/km by 2030""_x000D_
We're the No.1 EU airline for traffic, yet we rank fifth in terms of CO2 emissions.  What this means is that we carry almost four times the passengers as the No.6 airline while producing similar levels of CO2 emissions.  We want to keep improving our performances, and are committed to reducing emission intensity by 10% from pre-pandemic levels (66g CO2 pax/km) to 60g CO2 pax/km by 2030."
76,6,"Drawing up a strategy for the creation of Velo bicycle paths in Timiș County, by the end of 2022. The strategy will also refer to currently identifiable funding sources, available through accessing funding and/or mobilizing credit instruments and/or private investments. Starting with 2023, one objective is obtaining funding for bicycle infrastructure projects by applying to specific funding programs available in the period 2021-2027._x000D_
_x000D_
EuroVelo route 13 - Iron Curtain Trail cross our county for about 50 km. Our goal is to expand and refresh this route, by including on it Timișoara - the main city of our region and the Timișoara - Zrenjanin bicycle path  by 2025; One of the actions Timis County Council did so far for this direction was to become a member of Cities & Regions for Cyclists Network, from European Cyclists Federation that address to local and regional authorities. Through this membership we have access to know how and best practices examples._x000D_
_x000D_
The implementation of public transport on the Bega canal by 2030 to ensure the connection between the settlements along the route, contributing also to the development of sustainable tourism. The Bega Canal has been rehabilitated along the entire section till Zrenjanin, Serbia and currently there is public transport only on the section that crosses the main city of the county - Timișoara."
77,6,"Action: Work with stakeholders across the continent to realise EuroVelo, the European cycle route network, so that it is a fully developed and high quality network, which is well-connected to national, regional and local cycle route networks and other sustainable modes of transport, driving further increases in everyday cycling and cycling tourism._x000D_
_x000D_
Target: Increase in the % of the network realised every year_x000D_
_x000D_
Specific transition pathway topic: Green transition"
78,6,"EGWA commits to promote active and sustainable mobility using greenways and non-motorized infrastructures, by bike and walking, by collecting and editing at least 2 real best practices/Year (8 BPs by 2025) and disseminating at least 10 news year (Social Network = 40 news/post by 2025)  of active and sustainable mobility by greenways and non-motorised routes._x000D_
Best Practices promoting the:_x000D_
 i) reuse and valorisation of heritage transport infrastructure, namely disused railways, to promote innovative and sustainable forms of tourism, for instance slow tourism (e.g. cycle tourism); ii) deployment of new non-motorised infrastructures, and the upgrade of the existing ones for cycling and walking; iii) connectivity improvement between the non-motorised routes (as greenways and cycle routes) and the main attractions nearby (natural as e.g. N2000, cultural and natural UNESCO sites and other heritage assets), small villages and surrounding areas; iv)  connectivity Improvement with public transports to facilitate intermodality, removing obstacles to favour cycle routes, their services and attractions, for tourists and local people; v) combined travel (bicycle + train /boat /buses)."
79,6,"CO2 Reduction of Scope 1-3 Emissions by at least 5% each year, carbon neutral by 2040. Transportation choices shifted towards trains over flights for short-haul. Travelling less often for longer periods of time rather than shorter more often. Our tours outside of Europe currently last 16 days of average, aiming for 18 days in the coming years. Financial contribution to team members for local public transportation ticket. All business travel within 800km will be done on trains."
80,6,"The use of cycling for leisure, local or national/European tourism,  is becoming increasingly popular in Ile-de-France, particularly following the post-lockdown period. Cyclists will be able to use the new 720km regional cycling infrastructure financially supported by the Region. In addition to these new cycle routes, which will be integrated to public transport, the Region will be deploying new services for cyclists at or near the main railways’ stations and around tourist sites, as well as standardised and useful signage for users._x000D_
_x000D_
La Région s’est engagée très fortement dans le soutien à la pratique cyclable du quotidien, et a initié la mise en œuvre d’un réseau de pistes cyclables à haut niveau de service à l’échelle régionale :  le RER V, RER vélo, sur le modèle du réseau express régional qui sillonne l’ensemble du territoire, en complémentarité des trains régionaux et du métro. _x000D_
Il s’agit désormais de développer une offre destinée au vélo loisirs, qui s’appuiera donc sur une double structuration des infrastructures cyclables :_x000D_
- Le futur réseau du RER V d’une longueur totale de 720 km, et en particulier les cinq axes de sa première phase de réalisation qui seront réalisés dès 2025, les sept suivants l’étant d’ici à 2030._x000D_
- Les sept vélo routes nationales et européennes, identifiées dans le schéma régional des vélo routes de la région Île-de-France  adopté en 2018 et qui compte 806 km : 7 EuroVelo 3 – La Scandibérique, La Seine à Vélo (V33), l’Avenue Verte London Paris (V16), La Véloscénie (V40), Paris-Prague (V16), Paris-Strasbourg (V52) et la V32. Ces routes traversent l’Île -de-France et assurent une visibilité nationale et internationale à un certain nombre d’itinéraires identifiés et structurés et aux territoires qu’ils traversent._x000D_
Un développement réel et marqué de l’usage du vélo en matière de loisirs et de tourisme local ou itinérant en Ile-de-France nécessitera cependant, outre l’articulation fluide de ces grands itinéraires avec un maillage plus fin d’itinéraires cyclables sous forme de boucles locales ou d’itinéraires circulaires et de les relier aux transports en commun, le déploiement de nouveaux services à destination des cyclistes en gare ou à proximité des gares principales et autour des sites touristiques ainsi qu’un balisage précis, uniformisé et utile aux usagers. Cette vision globale est au cœur de la stratégie régionale de développement de la pratique cyclotouristique en Île -de-France."
81,6,"The Region is the organising authority for public transport, and is now the leader in intermodality (train, coach, boat, bicycle). In its roadmap on energy transition, it has included ecomobility among its strong commitments. _x000D_
The aim is to improve the transport offer and soft mobility for tourists, to offer travellers new experiences (e.g.: without my car, by boat) and to better distribute tourist flows in the region. Numerous actions will be put in place by 2028: development of intermodal solutions, experimentation with solutions for reaching a destination within one-kilometre, attractive pricing policy, simplification of online sales, etc. Cycle tourism is a crucial issue in the Pays de la Loire, and there will need to be more mutualisation in the cycling continuity, from cycle tourism to everyday cycling. By 2025, Pays de la Loire will be the top French destination for cycle tourism. By 2030, 100% of our destinations accessible by green means of transport (soft or collective mobility) and 0% of our destinations exclusively accessible by (individual) car."
82,6,"Region of Attica is selected as a replicating territory at INCIRCLE Project which is financed by INTERREGMED, in order to apply measures of tourism circular economy at the regional unit of the attica's islands. One of the objectives is about Encouraging sustainable, active and smart mobility and the measures up to 2027 are:_x000D_
Elaboration of : _x000D_
a) Sustainable Urban Mobility Plans (SUMP)_x000D_
b) Urban Accessibility Plans (UAP) _x000D_
c) Electrical Vehicle Charging Plans _x000D_
Development of Soft Mobility Networks prioritising the most touristic areas _x000D_
Development of a Mobility as a Service scheme based on a dense network of green mobility hubs_x000D_
Development of a smart mobile application providing real-time information on itineraries and arrival time of public transport vehicles_x000D_
Modernization and enlargement of Public Transport vehicle fleet with cleaner and smaller vehicles, adequate for PRM _x000D_
Development of PRM accessibility infrastructure, especially within the major settlements_x000D_
Legislation framework adaptation – and immediate implementation where possible – for flexible, on-demand, Public Transport schemes and policies against transport poverty and spatial segregation of particular social groups and areas _x000D_
Establishment of motorised vehicle access and parking regulations in the areas that receive the greatest demand (UVAR) _x000D_
Establishment of a 30km/h speed limit everywhere via road signs and adequate street redesign, primarily in areas of severe road accidents_x000D_
Development of an off-street Parking Spaces’ Network in the periphery of island settlements _x000D_
Redistribution of public road space in the island settlements in favour of sustainable mobility and green spaces_x000D_
Development of smart car-pooling scheme for residents and visitors"
83,6,"STIMULATING SUSTAINABLE MOBILITY_x000D_
1.Cyclo-tourism and cycling infrastructure_x000D_
Current situation: In the City of Zagreb there are currently 237,709 m of cycle lanes and sidewalks, while the share of cycle traffic in the overall city traffic is 3%. There are also 54,140 m of roads where shared traffic has been introduced. The existing cycling infrastructure of the City of Zagreb is not adequate (traffic continuity is not adequately managed, kerbs are still undropped, signals are irregularly installed), for which reason there is need for continuous investment, education and promotion of everyday bicycle use. To reach that objective, Zagreb is currently adopting an operation plan for the development of cycling traffic and an activity plan concerning the education and promotion of everyday bicycle use for moving within the city. _x000D_
Measure – In the coming period measures and activities will be implemented in order to increase pedestrian and cycling traffic, public transport share, and reduce the share of motor vehicle traffic. Another 3,000 m of cycle lanes will be constructed, especially those separated from pedestrian sidewalks and motor vehicle transport; other forms of shared transport, such as bike sharing and car sharing, will be stimulated as well._x000D_
Objective – Long-term objectives include the building of complete cycling infrastructure in the area of the City of Zagreb in order to allow quality and safe movement of cyclists. One of strategic objectives in the future development of urban and suburban traffic on the territory of the City of Zagreb and its wider area significantly relates to sustainable development stimulation through the introduction of cycling traffic in the traffic system. The other objectives, inter alia, include: an 8% increase of the cycling traffic share in the city traffic, growth of cycling surfaces due to the introduction of shared traffic on the pavement and 30 km/h zones in the wider area of the City._x000D_
2.Widening of the car-free zones in the very centre of the City_x000D_
Current situation: The area of the centre of the City of Zagreb extends on a surface of approximately 6.5 km2, while 81,669.92 m of streets are without car traffic. Examples of good practice have shown that the elimination of road traffic and the widening of pedestrian zones increase air quality, reduce traffic jams and noise levels, revive city centres, which, at the end of the day, contributes to the quality of life of all citizens, especially those who live in the City centre. The plan to extend car-free zones would stimulate citizens to a more frequent use of healthier means of transport, such as public transport and bicycles.  _x000D_
Measures: Gradual extension of car-free zones in the very centre of the city, by transforming the existing streets open to vehicle traffic into car-free streets._x000D_
Objective: Reducing road traffic and increasing the number of pedestrian zones (in metres) in the centre of the City of Zagreb by 10% by 2025._x000D_
3.Transformation of the City of Zagreb into a smart city_x000D_
Current situation: Projects and solutions aimed at resolving various citizens’ problems function as isolated points without being interconnected, such that it is not rare that they duplicate or that their full potential is not used; their data are not consolidated or integrated into a single system, which makes it difficult to citizens, and the overall public sector, to navigate in a large amount of information. A recently launched digital infrastructure sector project is the platform Zagreb Smart City Hub, which represents a simple tool for citizens which allows them to find relevant information about “smart” projects in the City area. The platform gives citizens an additional opportunity to communicate about key decisions and get involved in the strategic decision-making, while various information is gathered in a single point. _x000D_
Measure: Further development of ZSCH platform in terms of overall integration and interconnection of all databases from the Zagreb City area._x000D_
Objective: Full digitalisation of business, a single database and cooperation with citizens, which will ensure enviable quality of life and numerous savings, new business models, economic growth, and finally a high living standard for citizens. Each citizen and business entity will have their digital identity fully integrated with the European service provision system, i.e. with e-Citizens system, such that everyone who stays or lives in Zagreb, either as a business user or a tourist, will effectively be local in digital terms."
84,6,"TUI will continue to build on previous improvements by deploying work programmes across the three key business areas which account for 95% of its greenhouse gas emissions: aviation, cruises, and hotels. TUI is currently setting up emission reduction road maps in all three areas, which will be used in the different business areas for driving transformation going forward. TUI expects to share further details on the emission road maps during 2022/2023."
85,6,"Goals:_x000D_
-	The satisfaction score of international residential tourists related to public transport in the art cities, regions and at the coast is at least 200 (in the Travelsat statistics, currently 164). _x000D_
-	The share of residential tourists in art cities that travel by car (currently 46%) and train (regular trains + HST, currently 41%) is reversed by 2030._x000D_
-	At least 15% of residential tourists in the Flemish regions staying in a hotel or B&B travel by public transport and/or bicycle by 2030 (currently 8% for hotels and 6% for B&Bs)_x000D_
-	At least 25% of residential tourists at the coast staying in commercial accommodation travel by train in 2030 (currently 14%)._x000D_
-	At least 80% of our own and subsidised projects achieve the ‘Better’ performance level for accessibility by bicycle, on foot and public transport in the GRO’s mobility test._x000D_
_x000D_
Actions: _x000D_
2.2.1	We set up structural operations with public and private transport partners to optimise the accessibility of our tourism offer, conference offer and events via public transport and bicycle, and to jointly develop new products. _x000D_
2.2.2	We include the mobility test (GRO) in grant files and also calculate it for our own assets in order to arrive at actions for improvement._x000D_
2.2.3	In our own communication and partnerships (Fietsersbond, members of The Great Acceleration, Blue Bike, NMBS, bicycle rental, etc.), we invariably focus on the efficient use of public transport and cycling to visit Flanders._x000D_
2.2.4	We encourage tourism operators to enter into partnerships and also promote the use of public transport and cycling._x000D_
2.2.5	We develop a method to establish satisfaction with public transport of residential tourists in the regions and at the coast."
