,Topic,Pledge,Pledge status,PreProcessedText
64,4,"Visit Flanders has developed a sustainability plan for it's destination and it's own office and other infrastructure. Please find all information in the plan, uploaded in English. All targets are set for 2030. Some goals have targets for 2024.",Published,visit flanders develop sustainability plan destination office infrastructure please find information plan upload english target set goal target
65,4,"Visit Tallinn has developed Strategic Tourism Development - Tallinn 2035. Plan will consider the economic, environmental and social sustainability of the destination travel and tourism related activities.",Published,visit tallinn develop strategic tourism development tallinn plan consider economic environmental social sustainability destination travel tourism related activity
66,5,"We actively take part in different Smart Destination Networks both at national and international level. We are also talking to different municipalities to join networks. 
For 2025 we hope to have taken part in six different Smart Destination meetings and contributed to at least three municipalities haviing joined networks.",Published,actively take part different smart destination network national international level also talk different municipality join network hope take part six different smart destination meeting contribute least three municipality haviing join network
67,5,"Adoption of a collaborative and inclusive governance model, where Tourism is seen as an agent of sustainable development, having several public, private and NGO development projects in the identification of solutions for sustainable development in the pillars, social, cultural and environmental and that results in an Action Plan for Sustainability of the destination that is reviewed, monitored and updated annually.
Measurable target: achieve Gold certification by EarthCheck, under GSTC criteria, until 2024. 
This goal is also linked to the Topic 3",Published,adoption collaborative inclusive governance model tourism see agent sustainable development several public private ngo development project identification solution sustainable development pillar social cultural environmental result action plan sustainability destination review monitor update annually measurable target achieve gold certification earthcheck gstc criterion goal also link topic
68,5,"Today, we have reached a key moment that will allow us to think collectively about the type of tourism that we wish to develop for our destination tomorrow. This strong desire to reposition ourselves is correlated with a shift in demand, expressed in particular through the desire to restore meaning to travel. This is why we, Bordeaux Métropole and the Tourism and Convention Office, wanted to involve all our stakeholders in an open and broad reflection in order to reposition our destination for the future and take account of the long-term challenges of our tourism and events industry.

A new open governance was launched in May 2021 to build together the future of urban tourism and the events activity from a sustainable perspective. The participatory forum on sustainable tourism was the first major concrete step in this process in May 2021. Then, several workshops brought together residents, elected representatives, associations, institutions and professionals during the year, in order to co-build the roadmap for tourism in Bordeaux Metropole 2022-2026. 195 participants gathered during 10 months. This governance will still be animated in the following years to keep on debating and updating the global strategy. 

The website agora-tourism-bordeaux.com informs on this process and its result.

UPDATE: The objective, now that the roadmap is published, is to have an annual event with our main stakeholders (residents, associations, tourism companies, event organisers, elected representatives from our 28 cities, students, sport and culture institutions...13 different types of stakeholders). During this event, we will inform on the results of the actions and maintain an ongoing dialogue and debate about new opportunities and challenges.The target is to have a high number of residents who feel involved in the tourism strategy in our Resident sentiment index surveys (each two years, the next one will be in 2023).",Published,today reach key moment allow u think collectively type tourism wish develop destination tomorrow strong desire reposition correlate shift demand express particular desire restore meaning travel bordeaux métropole tourism convention office want involve stakeholder open broad reflection order reposition destination future take account long term challenge tourism event industry new open governance launch may build together future urban tourism event activity sustainable perspective participatory forum sustainable tourism first major concrete step process may several workshop bring together resident elect representative association institution professional year order co build roadmap tourism bordeaux metropole participant gather month governance still animate follow year keep debate update global strategy website agora tourism bordeaux com inform process result update objective roadmap publish annual event main stakeholder resident association tourism company event organiser elect representative city student sport culture institution different type stakeholder event inform result action maintain ongoing dialogue debate new opportunity challenge target high number resident feel involved tourism strategy resident sentiment index survey two year next one
69,5,Agreement with all the 5 provincial authorities in our region to allign and support tourism governance and deploy joint tourism policies (2025).,Published,agreement provincial authority region allign support tourism governance deploy joint tourism policy
70,5,". The SIMTC (Integrated Tourism Marketing System of Catalonia) is a new tourism marketing governance System of Catalonia, based on co-leadership with a public-private partnership approach, sharing a joint mission, vision, values, objectives and actions at the service of the brand “Catalonia” and all its territorial brands. This initiative aims to ensure a consistent and homogeneous image and better services of Catalonia by coordinating marketing and management efforts by all the actors involved, ensuring a more effective impact of the strategies and contributing to the sustainability and competitiveness of the destinations. 
Target: to implement yearly this system 

. The General Directorate of Tourism of the Catalan Government is collaborating with the Territorial Plan for Tourism Sustainability in (PTSTD) in Spain, for which each region (Autonomous Community) is developing a Destinations Tourism Sustainability Plan, and which may incorporate interregional cooperation actions between Spanish regions. These will be developed annually in coordination with the regions and local entities, also incorporating the different public and private stakeholders in the destination ecosystem. The duration of these actions could be up to 3 years maximum. The territorial plan will dedicate a maximum of 50% of its budget annually to interregional cooperation actions within destination.
•	https://turismo.gob.es/es-es/Novedades/Paginas/abierta-edicion-ordinaria-2022-planes-sostenibilidad-turistica-destinos.aspx",Published,simtc integrate tourism marketing system catalonia new tourism marketing governance system catalonia base co leadership public private partnership approach share joint mission vision value objective action service brand catalonia territorial brand initiative aim ensure consistent homogeneous image well service catalonia coordinate marketing management effort actor involve ensure effective impact strategy contribute sustainability competitiveness destination target implement yearly system general directorate tourism catalan government collaborate territorial plan tourism sustainability ptstd spain region autonomous community develop destination tourism sustainability plan may incorporate interregional cooperation action spanish region develop annually coordination region local entity also incorporate different public private stakeholder destination ecosystem duration action could year maximum territorial plan dedicate maximum budget annually interregional cooperation action within destination
71,5,"Set up a permanent Tourism Governance group - periodic meetings that can monitor all stages of the process of restarting and relaunching European tourism. 

CNA Turismo e Commercio has already started a series of periodic meetings, between enterprises and regional/national public decision-makers, for the monitoring of the stages of the recovery and relaunching process of  the touristic sector. The meetings will continue throughout 2022 and 2023 with the next one scheduled for the first ten days of September 2022.",Published,set permanent tourism governance group periodic meeting monitor stage process restart relaunching european tourism cna turismo commercio already start series periodic meeting enterprises regional national public decision maker monitor stage recovery relaunching process touristic sector meeting continue throughout next one schedule first ten day september
72,5,"We intend to meet the collaborative local destination governance requirements by operationalizing the Maramures Destination Management Organization, under whose dome the main tourism actors from all relevant backgrounds will gather. We expect this organization to be fully operationalized by 2025.",Published,intend meet collaborative local destination governance requirement operationalizing maramures destination management organization whose dome main tourism actor relevant background gather expect organization fully operationalized
73,5,"In July 2021 we presented our ""Costa Manifesto for a Value-driven Sustainable and Inclusive Tourism"", a cruise industry’s first-of-it-kind catalogue of principles and commitments driving our capability of growing together with our cruise destinations. 
The Manifesto is a collaborative platform for shared high-impact initiatives to be implemented jointly between Costa Cruises and local communities' official representatives in our destinations.

We are taking the commitment to have the Manifesto shared and signed by as many as 50 representatives from Costa key destinations by 2030.",Published,july present costa manifesto value drive sustainable inclusive tourism cruise industry first kind catalogue principle commitment drive capability grow together cruise destination manifesto collaborative platform share high impact initiative implement jointly costa cruise local community official representative destination take commitment manifesto share sign many representative costa key destination
74,5,"Turismo Andaluz Smart Data department aggregates official data and non-official data (open and big data) in order to offer it and to support Andalusian destinations and SMEs. 
Among other projects, and in relation to collaborative governance of tourism destinations, Turismo Andaluz have participated in MITOMED+, an Interreg MED project implementing system of indicators for measuring sustainability at local level, involving more than 15 destinations all over MED Europe to implement data-supported destination management models. 
Turismo Andaluz is member of the UNWTO working group ""Measuring Sustainable Tourism"" and Committee of Statistics and Tourism Satellite Accounts. Recently, the UN Statistical Commission has encouraged the finalization of the Statistical Framework for Measuring the Sustainability of Tourism for future submission to the Commission. 
Andalucía is one of the group of NECSTouR Regions defining and launching ""Tourism of Tomorrow Lab"" from the S3 Platform for Digitalisation and Safety for Tourism. Turismo Andaluz is managing the resulting investment project of the S3P for Tourism: Tourism of Tomorrow Lab, which is now a NECSTouR department. We are working to mainstream EU priorities to tourism players with data-related solutions to adapt to the EU green deal, the EU climate Law, the SDGs and the target of become climate neutral by 2050.
Andalusia collaborates with other tourism destinations (Catalonia, Navarra and Valencia) in the European Commission Structural Reform Support Service for the tourism ecosystem: towards a more sustainable, resilient and digital tourism. This support will offer measures to assist the sustainable and innovative recovery and development of tourism with improved evidence base and monitoring framework for the tourism ecosystem. It will develop and collect suitable indicators to steer and monitor the progress towards green and digital transition of European tourism.
By 2025 Andalusia commits to share the outputs DG Reform Support Service (joint methodology and results of the pilot in Andalusia) in, at least, 3 international events including meetings of the UNWTO working group, Measuring Sustainable Tourism.",Published,turismo andaluz smart data department aggregate official data non official data open big data order offer support andalusian destination smes among project relation collaborative governance tourism destination turismo andaluz participate mitomed interreg med project implement system indicator measure sustainability local level involve destination med europe implement data support destination management model turismo andaluz member unwto work group measure sustainable tourism committee statistic tourism satellite account recently un statistical commission encourage finalization statistical framework measure sustainability tourism future submission commission andalucía one group necstour region define launch tourism tomorrow lab platform digitalisation safety tourism turismo andaluz manage result investment project sp tourism tourism tomorrow lab necstour department work mainstream eu priority tourism player data related solution adapt eu green deal eu climate law sdgs target become climate neutral andalusia collaborates tourism destination catalonia navarra valencia european commission structural reform support service tourism ecosystem towards sustainable resilient digital tourism support offer measure assist sustainable innovative recovery development tourism improve evidence base monitoring framework tourism ecosystem develop collect suitable indicator steer monitor progress towards green digital transition european tourism andalusia commits share output dg reform support service joint methodology result pilot andalusia least international event include meeting unwto work group measure sustainable tourism
75,5,"We actively contribute to the creation of a local tourism governance by offering our technical knowledge in sustainable tourism to different actors in our region. For instance, we contributed as jurors to the Sustainability Award of the Fair, an award tailored to connect and give visibility to sustainability-oriented SMEs in the hospitality and food service sector. In the 2021 edition, 63 businesses were participating and the winner obtained a marketing voucher of the value of 10.000 € financed by the local DMO( see: https://www.fierabolzano.it/de/hotel/sustainability-award-hotel-2021). We have co-developed this award and its evaluation criteria and we plan to work on it in the long term, to refine these evaluation and to identify mechanisms to foster a multiplier effect in tourism businesses.",Published,actively contribute creation local tourism governance offer technical knowledge sustainable tourism different actor region instance contribute juror sustainability award fair award tailor connect give visibility sustainability orient smes hospitality food service sector edition business participate winner obtain market voucher value finance local dmo see co develop award evaluation criterion plan work long term refine evaluation identify mechanisms foster multiplier effect tourism business
76,5,"1) As co-founder and partner of Balkan Green (www.balkan.green) my consultancy will be establishing and supporting continued collaboration in collaborative destination management and credibly, measurably greening tourism businesses in the Balkan area. The work has started in July 2022 and the first results will be available in July 2023. Our aim is to strengthen continued collaboration, not only project-based; target from today´s viewpoint - min. 10 destinations from the Western Balkans to have reached an awarded level in the Green Destinations´ development and monitoring process by 2025 – and Montenegro to have committed to it and active from the national level as well - to bring together strategies with local action and evidence-based change: all starting to work with the GSTC Criteria / Green Destinations (GD) standards:

2) Within Montenegro, my consultancy is facilitating collaborative and sustainable destination management development, aligned with the above mentioned international organisations. We have already one successful destination (Tivat), and as of Octoer 2022, further four destinations are registered; by 2030 my aim is to have all destinations in the country and the national level following and using the same sustainable management principles. Re-thinking tourism is a process, not a project.",Published,co founder partner balkan green www balkan green consultancy establish support continued collaboration collaborative destination management credibly measurably green tourism business balkan area work start july first result available july aim strengthen continue collaboration project base target today viewpoint min destination western balkan reach award level green destination development monitoring process montenegro commit active national level well bring together strategy local action evidence base change start work gstc criterion green destination gd standard within montenegro consultancy facilitate collaborative sustainable destination management development align mentioned international organisation already one successful destination tivat octoer four destination register aim destination country national level follow use sustainable management principle think tourism process project
78,5,"IN2destination advocates for collaborative governance models that involve stakeholders from the public, private, and civil society sectors in tourism decision-making processes. The company provides guidance on stakeholder engagement, governance structures, and decision-making processes. IN2destination's concrete target for 2025 is to facilitate the establishment of at least 5 collaborative governance models in tourism destinations.",Ready for publishing,indestination advocate collaborative governance model involve stakeholder public private civil society sector tourism decision making process company provide guidance stakeholder engagement governance structure decision making process indestination concrete target facilitate establishment least collaborative governance model tourism destination
79,5,"Lombardy is characterised by a wide variety of tourist attractors and products, subdivided among territories with diverse levels of tourist vocation, a diverse presence of operators in the sector, a number of different local DMOs of a public and private nature and a diverse degree of infrastructuralisation of services dedicated to tourism.

The Lombardy Region, through the regional DMO ARIA S.p.A., aims at enhancing the destinations and territories through the creation of a ""federal"" organisational model that provides collaborative tools to promote the tourist and experiential offer from a market perspective by communicating the inLombardy umbrella brand and the local brands in an integrated manner.

The coordinating tool of the federal organisational model is the digital asset management Regional Tourism Digital Ecosystem (EDT), i.e. an integrated system for the centralised management of digital content relating to the Lombardy tourism offer.

The target to 2025 is the percentage of increase of the ecosystem's participating subjects and the percentage of increase of the participating subjects' offers.",Ready for publishing,lombardy characterise wide variety tourist attractor product subdivide among territory diverse level tourist vocation diverse presence operator sector number different local dmos public private nature diverse degree infrastructuralisation service dedicate tourism lombardy region regional dmo aria aim enhance destination territory creation federal organisational model provide collaborative tool promote tourist experiential offer market perspective communicate inlombardy umbrella brand local brand integrated manner coordinate tool federal organisational model digital asset management regional tourism digital ecosystem edt integrated system centralise management digital content relate lombardy tourism offer target percentage increase ecosystem participate subject percentage increase participate subject offer
80,5,"In Estonia, new structure of regional DMO network is being created currently. The general objectives of the DMO restructuring program are that numerous tiny tourism organizations would consolidate into fewer strategically managed development organizations of Estonian tourist destinations and that there would be effective cooperation between the parties in the Estonian tourism sector. Totally nearly 8 million euros of state funding is allocated for development of DMO-s for years 2022-2025. 

Expected results of the program are:
- Satisfaction of visitors with the quality of tourism services in the region has risen
- Visitor satisfaction for the availability of information online has risen
- There is an optimal number of DMOs in Estonia (5-8) that have optimal size (400-600 enterprizes per DMO)
- Regional tourism cooperation network is satisfied with the DMO operating models
- Addition of sustainable tourism companies
- Number of products based on the network and corresponding to the messages of the Estonian brand in the field of tourism has risen
- Development activities organized by the DMO for the service providers in the area are useful
- Estonian Tourism Board is satisfied with the cooperation with DMO-s",Published,estonia new structure regional dmo network create currently general objective dmo restructure program numerous tiny tourism organization would consolidate few strategically manage development organization estonian tourist destination would effective cooperation party estonian tourism sector totally nearly million euros state funding allocate development dmo year expect result program satisfaction visitor quality tourism service region rise visitor satisfaction availability information online risen optimal number dmos estonia optimal size enterprizes per dmo regional tourism cooperation network satisfy dmo operating model addition sustainable tourism company number product base network correspond message estonian brand field tourism risen development activity organize dmo service provider area useful estonian tourism board satisfy cooperation dmo
81,5,"As a newly established NTO has been functioning only year and a half, the aim is to strengthen its  position on domestic and international target markets.  From this point of view building and development of the organizational structure of NTO is essential. The next step will be creation of thematic tourism product management. As a target for 2025, NTO plans to prepare 4-8 thematic product lines for marketing and sales activities. In the process of creating the product lines we make efforts to include the principles of sustainability – as using regional products and sources, supporting local communities, creating authentic offers and deliverying exceptional tourism experience.
It will be supported by effective networking of DMO´s, professional organisations and tourism stakeholders. 

In order to ensure collaborative governance of tourism destinations, we support cooperation of professional tourism organizations at all levels (NTO, 8 regional tourism organizations and 39 district tourism organizations - DMOs). In the field of the cooperation of DMOs, we encourage them to become a member of the professional association of DMOs which can provide them opportunities for collective action and communication toward government entities and other tourism stakeholders on regular basis. Another key objective is to provide support for increase in number of active DMCs and incoming sales entities to enable the increased sales of tourism products.  

All actions mentioned above shoud be supported by cooperation between all tourism entities,  including the public sector and local residents, as well. At least once a year a professional gathering organized by NTO is planned to provide opportunities to discuss on various topics and to improve activities by information exchange of best practices from abroad and from Slovak regions. A regular online education trainings are planned for DMO´s on selected topics.
The only way how to succeed is to ensure sustainable cooperation between all tourism stakeholders.",Published,newly establish nto function year half aim strengthen position domestic international target market point view building development organizational structure nto essential next step creation thematic tourism product management target nto plan prepare thematic product line market sale activity process create product line make effort include principle sustainability use regional product source support local community create authentic offer deliverying exceptional tourism experience support effective networking dmos professional organisation tourism stakeholder order ensure collaborative governance tourism destination support cooperation professional tourism organization level nto regional tourism organization district tourism organization dmos field cooperation dmos encourage become member professional association dmos provide opportunity collective action communication toward government entity tourism stakeholder regular basis another key objective provide support increase number active dmcs incoming sale entity enable increased sale tourism product action mention shoud support cooperation tourism entity include public sector local resident well least year professional gathering organize nto plan provide opportunity discuss various topic improve activity information exchange best practice abroad slovak region regular online education training plan dmos select topic way succeed ensure sustainable cooperation tourism stakeholder
82,5,"Mirabilia Network commits to organizing, on a yearly basis, a national award to be assigned to the best product, application or technological solution developed to remove obstacles or solve problems connected to restarting the tourism economy after the pandemic, or making it more resilient in favour of lesser known Unesco sites. An essential requirement is that these products, applications and solutions involve the use of one or more of the enabling technologies of the National Italian Plan IMPRESA 4.0 and contribute significantly to the improvement of actions of one or more stakeholders, actors or intermediaries operating in the tourism supply chain (accommodation activities, attractions, seaside businesses, event organizers, transport line managers, administration activities, tourist information points, tour operators, agencies travel, and online travel agencies. We intend to assess the concept’s impact in 2025 after three consecutive award rounds.",Ready for publishing,mirabilia network commits organize yearly basis national award assign best product application technological solution develop remove obstacle solve problem connect restart tourism economy pandemic make resilient favour less know unesco site essential requirement product application solution involve use one enable technology national italian plan impresa contribute significantly improvement action one stakeholder actor intermediary operate tourism supply chain accommodation activity attraction seaside business event organizer transport line manager administration activity tourist information point tour operator agency travel online travel agency intend assess concept impact three consecutive award round
83,5,"Our approach is twofold: enable collaborative destination governance mechanism and empowering them to measure tourism success according to values beyond traditional volumes:

1)	Through the personalised tourism-data consultancy delivered by the Tourism of Tomorrow Lab to at least 4 pilot regions in 2022,  these regions who will acquire experience in measuring tourism impacts as a structural decision making policy will trigger change to less experienced destinations through the collaborative knowledge framework offered through the network. As mentioned, through the project « Support to the tourism ecosystem: towards a more sustainable, resilient, and digital tourism” we expect to easy the integration of sustainable tourism measurability, more and more progressively, into the destination management models.

1.	By transforming the “Better Places to Live, Better Places to Visit” principles into policy measures and projects. NECSTouR signed the Barcelona Declaration in April 2018.  Better Places to Live, Better Places to Visit which aims at balancing the uses of cultural heritage and other territorial assets by the residents, the visitors, and the tourism businesses. It proposes five key principles addressing aspects related to governance, sense of belonging, promotion, measurability, and interpersonal relations to be endorsed by tourism as well as the cultural and other related stakeholders. It shows the consensus of key stakeholders committed to demonstrate what tourism and cultural heritage sectors can achieve by working more closely together, for the benefit of European citizens and cultural heritage as well as businesses, visitors, and destinations, in line with the SDGs. This is why NECSTouR Regions keeps identifying examples of turning principles into policy measures and projects. First, through an event in Barcelona in September 2022, aiming at generating exchanges, reflections, and debates on how the wellbeing of the local community and the climate actions needs are driving the transformation of the tourism model and ecosystem, moving from sustainable to responsible and regenerative tourism. The event will reflect the legacy of the Barcelona declaration “Better places to Live, Better Places to Visit” in NECSTouR members’ strategies, actions, and initiatives. Equally important is the development of interregional pilot projects to build methodologies and test them on the ground. This will be possible if European funding is obtained.",Published,approach twofold enable collaborative destination governance mechanism empower measure tourism success accord value beyond traditional volume personalise tourism data consultancy deliver tourism tomorrow lab least pilot region region acquire experience measure tourism impact structural decision making policy trigger change less experienced destination collaborative knowledge framework offer network mention project support tourism ecosystem towards sustainable resilient digital tourism expect easy integration sustainable tourism measurability progressively destination management model transform good place live good place visit principle policy measure project necstour sign barcelona declaration april well place live good place visit aim balance us cultural heritage territorial asset resident visitor tourism business propose five key principle address aspect relate governance sense belong promotion measurability interpersonal relation endorse tourism well cultural relate stakeholder show consensus key stakeholder commit demonstrate tourism cultural heritage sector achieve work closely together benefit european citizen cultural heritage well business visitor destination line sdgs necstour region keep identify example turn principle policy measure project first event barcelona september aim generate exchange reflection debate wellbeing local community climate action need drive transformation tourism model ecosystem move sustainable responsible regenerative tourism event reflect legacy barcelona declaration well place live good place visit necstour member strategy action initiative equally important development interregional pilot project build methodology test ground possible european funding obtain
84,5,"A working group consisting of DMOs, CMO's, knowledge institutes (universities), provinces and national government is working on implementing Destination Management at national, regional and local level from the Perspective 2030 action agenda/ Hospitality Sector Taskforce. The guideline Destination Management offers an uniform approach and ensures that knowledge and experience can be easily shared. Therefore we will launch an digital  platform in Q2 2023 where best practices will be shared for each step of the guideline by and for stakeholders of the hospitality economy. Knowledge sessions will also be set up for public and regional authorities and DMOs to apply the guidance locally and regionally. Our target is to reach at least 1000 local and regional policy makers, entrepreneurs and other stakeholders with the 6 sessions we will organise in 2023",Ready for publishing,work group consist dmos cmo knowledge institute university provinces national government work implement destination management national regional local level perspective action agenda hospitality sector taskforce guideline destination management offer uniform approach ensures knowledge experience easily share therefore launch digital platform best practice share step guideline stakeholder hospitality economy knowledge session also set public regional authority dmos apply guidance locally regionally target reach least local regional policy maker entrepreneurs stakeholder session organise
85,5,"We are working towards collaborating with the metropolis local council to include tourism topics in the Municipal Advisory Council  (Conseil communal consultatif ) which aims at consulting and engaging with local residents on important city topics. 
Topics could be : the transition to sustainability for events through legacy & heritage, waste collection generated by hoteliers & restaurants, participating democracy with local citizen's pov on tourism in the metropolis....
Our target for 2025 is implementing our current sustainability policy & collecting data from these council meetings in order to adapt them and integrate them into our tourism strategy for 2030.",Published,work towards collaborate metropolis local council include tourism topic municipal advisory council conseil communal consultatif aim consult engage local resident important city topic topic could transition sustainability event legacy heritage waste collection generate hotelier restaurant participate democracy local citizen pov tourism metropolis target implement current sustainability policy collect data council meeting order adapt integrate tourism strategy
86,5,"The Destination Network Open Platform and Ecosystem was build to establish collaboration between all stakeholders in a destination. Through this digital platform and digital transformation, all stakeholders are seamlessly connected with each other in terms of content and business transactions providing traveler's a seamless platform to enjoy along the entire traveler mental model (customer journey) - Dram, Plan, Book, Experience, Share. It enables cross selling, boosts visibility, direct bookings in the destination where no leakage to global market dominating platforms takes place. 

The goal for 2025 is to work with at least 50 tourism authorities and destinations to make this feature available to them.",Ready for publishing,destination network open platform ecosystem build establish collaboration stakeholder destination digital platform digital transformation stakeholder seamlessly connect term content business transaction provide traveler seamless platform enjoy along entire traveler mental model customer journey dram plan book experience share enable cross sell boost visibility direct booking destination leakage global market dominate platform take place goal work least tourism authority destination make feature available
87,5,"Development of Destination Management System (DMS) 
Trough a set of different tools, Tuscany Region favours the digitisation of Tourism sector, starting from the establishment of data supported destination model. The governence of the regional destination is managed by Laws n. 22/2016 and n. 86/2016 and other regulations. The governance involves Tuscany Region, Toscana Promozione Turistica, Fondazione Sistema Toscana and - at local level - 28 “Ambiti” (associations of municipalities with homogeneous tourism attractions). It also involves Regional Tourism Products (PTO) partnership of public and private offers.  The digital tools available at the moment are:
1. MAKE: collaborative digital platform to promote the destination (open to public and private actors)
https://make.visittuscany.com/it/
2. MAKE IAT: collaborative digital platform to share information with and among Tourism Information Offices managed at local level
3. Tuscany Together: digital platform for co-design the Tourism promotion plan.
Tuscany Region is improving the different tools, aiming at creating a Destination Management System (DMS) able to collect and share data to jointly promote the Destination versus specific targets. DMS will involves public and private actors 

The activity benefits also from the pariticipation of Tuscany Region to Necstour.

TARGET 2023-2025
Improved the collaborative model and tools to support the destination through:

2023:
- DMS model designed

2025:
- DMS used by the actors of the territory

- data available and used to redefine destination promotion and management strategies",Published,development destination management system dms trough set different tool tuscany region favour digitisation tourism sector start establishment data support destination model governence regional destination manage law regulation governance involve tuscany region toscana promozione turistica fondazione sistema toscana local level ambiti association municipality homogeneous tourism attraction also involve regional tourism product pto partnership public private offer digital tool available moment make collaborative digital platform promote destination open public private actor make iat collaborative digital platform share information among tourism information office manage local level tuscany together digital platform co design tourism promotion plan tuscany region improve different tool aim create destination management system dms able collect share data jointly promote destination versus specific target dms involve public private actor activity benefit also pariticipation tuscany region necstour target improve collaborative model tool support destination dm model design dm use actor territory data available used redefine destination promotion management strategy
88,5,"A collaborative Visitor Management Plan for Scotland:

Post lock-down, many local communities felt unprepared to deal with the large increase in visitors, particularly day visitors, campers and campervans. To address some of the negative impacts on communities, VisitScotland led a successful, large-scale collaboration aimed at engaging stakeholders and visitors on responsible enjoyment. 

Launched in March 2021 with a Responsible Tourism Visitor Pledge, the partnership includes National Park Authorities, Police Scotland, nature, land and transport bodies, as well as local authorities, to provide a robust and practical strategy with short, medium and long-term actions and benefits. 

Leading a collaborative, cross-organisation approach to marketing and communication, a fully realised campaign has now been delivered to provide information, guidance and education around outdoor access, camping, fire & water safety, motorhomes & campervans, littering & waste. Activity encourages greater access to, and enjoyment of, Scotland's outdoors – especially amongst new audiences – so we all #RespectProtectEnjoy. 

VisitScotland and partners will continuously update information on the Plan’s actions and impacts in a publicly available strategy framework and action log: 

https://www.visitscotland.org/about-us/what-we-do/working-in-partnership/visitor-management-plan. 

This includes reporting at the regular virtual summits of the collaborating stakeholders. As visitor management activity is wide ranging and involves many partners, each organisation involved has its own specific targets and KPIs, all aligned to the overarching strategy. 

The Visitor Management Action Plan is regularly monitored to ensure progress is being made and activity is supporting the strategy. Success is measured through reduction in issues relating to littering, fires, water safety, anti-social behaviour and inconsiderate parking.

A strategic framework pulls together the current and planned actions into a cohesive and aligned direction of travel towards a vision of how the visitor experience will develop over a 10-year period. The collective action log records progress against strategic pillars - covering not just VisitScotland as the official tourism organisation, but all partners involved in delivery of the visitor management strategy. 

A future focus for the visitor management work is on three areas: digital solutions (e.g. monitors of visitor volume); camping and motorhome management and infrastructure; and transport solutions.  These will complement the ongoing work on education, promotion of key messages and support for park rangers (which have been critical to the success of the work to date by engaging on-site with visitors and providing advice and guidance).

For all partners, the role of technology in visitor management and visitor experience will become increasingly important as we progress, with current projects already providing learnings for future.",Published,collaborative visitor management plan scotland post lock many local community felt unprepared deal large increase visitor particularly day visitor camper campervans address negative impact community visitscotland lead successful large scale collaboration aim engage stakeholder visitor responsible enjoyment launch march responsible tourism visitor pledge partnership include national park authority police scotland nature land transport body well local authority provide robust practical strategy short medium long term action benefit lead collaborative cross organisation approach marketing communication fully realise campaign deliver provide information guidance education around outdoor access camp fire water safety motorhomes campervans litter waste activity encourage great access enjoyment scotland outdoors especially amongst new audience respectprotectenjoy visitscotland partner continuously update information plan action impact publicly available strategy framework action log include report regular virtual summit collaborate stakeholder visitor management activity wide range involves many partner organisation involve specific target kpis align overarch strategy visitor management action plan regularly monitor ensure progress make activity support strategy success measure reduction issue relate litter fire water safety anti social behaviour inconsiderate park strategic framework pull together current planned action cohesive align direction travel towards vision visitor experience develop year period collective action log record progress strategic pillar cover visitscotland official tourism organisation partner involve delivery visitor management strategy future focus visitor management work three area digital solution monitor visitor volume camp motorhome management infrastructure transport solution complement ongoing work education promotion key message support park ranger critical success work date engage site visitor provide advice guidance partner role technology visitor management visitor experience become increasingly important progress current project already provide learning future
89,6,We are already working on two use cases in mobility in Austrian Alps regions (Schladming and Zell am See). With the use of mobile provider data we are solving the problem of visitor management in the high season. One project (in Schladming) will result in offering a bus ride up to the mountain instead of private cars. The other project is about management of car traffic given the limited number of parking slots on the top of the mountain. Both projects will be completed this year (2023). Next year the pilot project can be rolled-out in other regions.,Ready for publishing,already work two use case mobility austrian alp region schladming zell see use mobile provider data solve problem visitor management high season one project schladming result offer bus ride mountain instead private car project management car traffic give limited number park slot top mountain project complete year next year pilot project roll region
