,Topic,Pledge,Pledge status
100,6,"IN2destination promotes sustainable mobility options for tourism, such as public transportation, cycling, and walking. The company conducts research and analysis to identify opportunities for sustainable mobility in tourism destinations, and provides guidance on planning and implementation. IN2destination's concrete target for 2030 is to assist at least 7 destinations in developing sustainable mobility plans for tourism.",Ready for publishing
101,6,"In 2017 all passengers trains in the Netherlands became the first in the world to run for 100% on wind energy, giving travellers the option of travelling without CO2 emissions. From 2025 all new buses will run on 100% renewable energy and from 2030 all buses will be fully zero-emission. We encourage visitors to use sustainable mobility by education and campaigns. Our target is to reach 30000 with our campaign sustainable travel in 2023 and organise a symbolic action on cycling.",Ready for publishing
102,6,"The Region is the organising authority for public transport, and is now the leader in intermodality (train, coach, boat, bicycle). In its roadmap on energy transition, it has included ecomobility among its strong commitments. 
The aim is to improve the transport offer and soft mobility for tourists, to offer travellers new experiences (e.g.: without my car, by boat) and to better distribute tourist flows in the region. Numerous actions will be put in place by 2028: development of intermodal solutions, experimentation with solutions for reaching a destination within one-kilometre, attractive pricing policy, simplification of online sales, etc. Cycle tourism is a crucial issue in the Pays de la Loire, and there will need to be more mutualisation in the cycling continuity, from cycle tourism to everyday cycling. By 2025, Pays de la Loire will be the top French destination for cycle tourism. By 2030, 100% of our destinations accessible by green means of transport (soft or collective mobility) and 0% of our destinations exclusively accessible by (individual) car.",Published
103,6,"Region of Attica is selected as a replicating territory at INCIRCLE Project which is financed by INTERREGMED, in order to apply measures of tourism circular economy at the regional unit of the attica's islands. One of the objectives is about Encouraging sustainable, active and smart mobility and the measures up to 2027 are:
Elaboration of : 
a) Sustainable Urban Mobility Plans (SUMP)
b) Urban Accessibility Plans (UAP) 
c) Electrical Vehicle Charging Plans 
Development of Soft Mobility Networks prioritising the most touristic areas 
Development of a Mobility as a Service scheme based on a dense network of green mobility hubs
Development of a smart mobile application providing real-time information on itineraries and arrival time of public transport vehicles
Modernization and enlargement of Public Transport vehicle fleet with cleaner and smaller vehicles, adequate for PRM 
Development of PRM accessibility infrastructure, especially within the major settlements
Legislation framework adaptation – and immediate implementation where possible – for flexible, on-demand, Public Transport schemes and policies against transport poverty and spatial segregation of particular social groups and areas 
Establishment of motorised vehicle access and parking regulations in the areas that receive the greatest demand (UVAR) 
Establishment of a 30km/h speed limit everywhere via road signs and adequate street redesign, primarily in areas of severe road accidents
Development of an off-street Parking Spaces’ Network in the periphery of island settlements 
Redistribution of public road space in the island settlements in favour of sustainable mobility and green spaces
Development of smart car-pooling scheme for residents and visitors",Published
104,6,"Action 1: Increase of cycle paths throughout the region
Action 2: Installation of electric charging stations on the regional territory
Action 3: Completion of the Metropolitan Railway System
Action 4: Memorandum of Understanding to complete the priority allotments of the VENTO cycle route
Action 5: Completion of the priority allotments of the SOLE cycle route
Action 6: Construction of the Adriatic cycle route
Action 7: Intelligent mobility systems

Target 1: +1000 km of cycle paths in 2025 compared to 2020 (1120 km)
Target 2: + 2500 electric charging stations on the regional territory in 2025 compared to 2020 (708)
Target 3: Metropolitan Railway System completed in 2025
Target 4: Finalization of the aforementioned Memoranda of Understanding by 2025
Target 5: Completion of the aforementioned allotments by 2025
Target 6: Completion of the aforementioned  cycle route by 2025
Target 7: 800 smart appliances installed on board of the collective public means of transportation by 2025",Ready for publishing
105,6,"""12.5% Sustainable Aviation Fuel by 2030""
The use of sustainable aviation fuel (“SAF”) is key to decarbonise the industry in the short to medium term.  SAF can deliver significant CO2 emissions savings and is a promising technology to pursue the achievement of the EU Green Deal’s objectives.  For these reasons, Ryanair committed to an industry-leading 12.5% SAF use in 2030.  In April 2022, we announced a partnership with Neste, a SAF supplier, to power approx. one third of our flights at Amsterdam Airport Schiphol (AMS) with a 40% SAF blend.  This SAF will reduce greenhouse gas emissions by over 60%, supporting Ryanair’s Pathway to Net Zero by 2050 decarbonisation goals.  Ryanair has already significantly advanced this commitment by partnering with Trinity College Dublin to open the Ryanair Sustainable Aviation Research Centre, which was launched in April 2021.  It is composed by 11 engineers and scientists focused on researching SAF, zero carbon aircraft propulsion systems and noise mapping for low-noise aircraft fleets.


""Target of 60g CO2 pax/km by 2030""
We're the No.1 EU airline for traffic, yet we rank fifth in terms of CO2 emissions.  What this means is that we carry almost four times the passengers as the No.6 airline while producing similar levels of CO2 emissions.  We want to keep improving our performances, and are committed to reducing emission intensity by 10% from pre-pandemic levels (66g CO2 pax/km) to 60g CO2 pax/km by 2030.",Published
106,6,"SFE launched in 2019 the Green Marine Europe certification, an environmental certification program that offers a detailed framework for maritime companies to first establish and then reduce their environmental footprint, on a voluntarily basis. Cruises are notably targeted. 
The environmental program targets 8 performance indicators, addressing ambitious key environmental issues in regards to air, land and water pollution (aquatic invasive species, green ouse gas, oily discharge, pollution air emissions NOX, SOX and PM, ship recycling, underwater noise, waste management). As for now, 13 maritimes companies are certified, the goal being to quadruple it by 2030.",Ready for publishing
107,6,"We seek to invest in sustainable mobility solutions. We identify, coach and mentor innovators and entrepreneurs through our engagement with university, incubators and accelerators. Once we identify scalable solutions with the right team we seek to be their first investor. By 2025, we hope to invest in at least 1 company in this arena.",Ready for publishing
108,6,"STIMULATING SUSTAINABLE MOBILITY
1.Cyclo-tourism and cycling infrastructure
Current situation: In the City of Zagreb there are currently 237,709 m of cycle lanes and sidewalks, while the share of cycle traffic in the overall city traffic is 3%. There are also 54,140 m of roads where shared traffic has been introduced. The existing cycling infrastructure of the City of Zagreb is not adequate (traffic continuity is not adequately managed, kerbs are still undropped, signals are irregularly installed), for which reason there is need for continuous investment, education and promotion of everyday bicycle use. To reach that objective, Zagreb is currently adopting an operation plan for the development of cycling traffic and an activity plan concerning the education and promotion of everyday bicycle use for moving within the city. 
Measure – In the coming period measures and activities will be implemented in order to increase pedestrian and cycling traffic, public transport share, and reduce the share of motor vehicle traffic. Another 3,000 m of cycle lanes will be constructed, especially those separated from pedestrian sidewalks and motor vehicle transport; other forms of shared transport, such as bike sharing and car sharing, will be stimulated as well.
Objective – Long-term objectives include the building of complete cycling infrastructure in the area of the City of Zagreb in order to allow quality and safe movement of cyclists. One of strategic objectives in the future development of urban and suburban traffic on the territory of the City of Zagreb and its wider area significantly relates to sustainable development stimulation through the introduction of cycling traffic in the traffic system. The other objectives, inter alia, include: an 8% increase of the cycling traffic share in the city traffic, growth of cycling surfaces due to the introduction of shared traffic on the pavement and 30 km/h zones in the wider area of the City.
2.Widening of the car-free zones in the very centre of the City
Current situation: The area of the centre of the City of Zagreb extends on a surface of approximately 6.5 km2, while 81,669.92 m of streets are without car traffic. Examples of good practice have shown that the elimination of road traffic and the widening of pedestrian zones increase air quality, reduce traffic jams and noise levels, revive city centres, which, at the end of the day, contributes to the quality of life of all citizens, especially those who live in the City centre. The plan to extend car-free zones would stimulate citizens to a more frequent use of healthier means of transport, such as public transport and bicycles.  
Measures: Gradual extension of car-free zones in the very centre of the city, by transforming the existing streets open to vehicle traffic into car-free streets.
Objective: Reducing road traffic and increasing the number of pedestrian zones (in metres) in the centre of the City of Zagreb by 10% by 2025.
3.Transformation of the City of Zagreb into a smart city
Current situation: Projects and solutions aimed at resolving various citizens’ problems function as isolated points without being interconnected, such that it is not rare that they duplicate or that their full potential is not used; their data are not consolidated or integrated into a single system, which makes it difficult to citizens, and the overall public sector, to navigate in a large amount of information. A recently launched digital infrastructure sector project is the platform Zagreb Smart City Hub, which represents a simple tool for citizens which allows them to find relevant information about “smart” projects in the City area. The platform gives citizens an additional opportunity to communicate about key decisions and get involved in the strategic decision-making, while various information is gathered in a single point. 
Measure: Further development of ZSCH platform in terms of overall integration and interconnection of all databases from the Zagreb City area.
Objective: Full digitalisation of business, a single database and cooperation with citizens, which will ensure enviable quality of life and numerous savings, new business models, economic growth, and finally a high living standard for citizens. Each citizen and business entity will have their digital identity fully integrated with the European service provision system, i.e. with e-Citizens system, such that everyone who stays or lives in Zagreb, either as a business user or a tourist, will effectively be local in digital terms.",Published
109,6,"Drawing up a strategy for the creation of Velo bicycle paths in Timiș County, by the end of 2022. The strategy will also refer to currently identifiable funding sources, available through accessing funding and/or mobilizing credit instruments and/or private investments. Starting with 2023, one objective is obtaining funding for bicycle infrastructure projects by applying to specific funding programs available in the period 2021-2027.

EuroVelo route 13 - Iron Curtain Trail cross our county for about 50 km. Our goal is to expand and refresh this route, by including on it Timișoara - the main city of our region and the Timișoara - Zrenjanin bicycle path  by 2025; One of the actions Timis County Council did so far for this direction was to become a member of Cities & Regions for Cyclists Network, from European Cyclists Federation that address to local and regional authorities. Through this membership we have access to know how and best practices examples.

The implementation of public transport on the Bega canal by 2030 to ensure the connection between the settlements along the route, contributing also to the development of sustainable tourism. The Bega Canal has been rehabilitated along the entire section till Zrenjanin, Serbia and currently there is public transport only on the section that crosses the main city of the county - Timișoara.",Ready for publishing
110,6,"TUI will continue to build on previous improvements by deploying work programmes across the three key business areas which account for 95% of its greenhouse gas emissions: aviation, cruises, and hotels. TUI is currently setting up emission reduction road maps in all three areas, which will be used in the different business areas for driving transformation going forward. TUI expects to share further details on the emission road maps during 2022/2023.",Published
111,6,"Goals:
-	The satisfaction score of international residential tourists related to public transport in the art cities, regions and at the coast is at least 200 (in the Travelsat statistics, currently 164). 
-	The share of residential tourists in art cities that travel by car (currently 46%) and train (regular trains + HST, currently 41%) is reversed by 2030.
-	At least 15% of residential tourists in the Flemish regions staying in a hotel or B&B travel by public transport and/or bicycle by 2030 (currently 8% for hotels and 6% for B&Bs)
-	At least 25% of residential tourists at the coast staying in commercial accommodation travel by train in 2030 (currently 14%).
-	At least 80% of our own and subsidised projects achieve the ‘Better’ performance level for accessibility by bicycle, on foot and public transport in the GRO’s mobility test.

Actions: 
2.2.1	We set up structural operations with public and private transport partners to optimise the accessibility of our tourism offer, conference offer and events via public transport and bicycle, and to jointly develop new products. 
2.2.2	We include the mobility test (GRO) in grant files and also calculate it for our own assets in order to arrive at actions for improvement.
2.2.3	In our own communication and partnerships (Fietsersbond, members of The Great Acceleration, Blue Bike, NMBS, bicycle rental, etc.), we invariably focus on the efficient use of public transport and cycling to visit Flanders.
2.2.4	We encourage tourism operators to enter into partnerships and also promote the use of public transport and cycling.
2.2.5	We develop a method to establish satisfaction with public transport of residential tourists in the regions and at the coast.",Published
112,7,"AViTeM will contribute to this topic by enhancing its ongoing cooperation work through EU territorial cooperation projects with other organisations, local/regional/national institutions, associations, businesses across Europe and the Mediterranean. For what concerns circularity in the hospitality industry, we will keep exploring opportunities to build projects that allow to test solutions based on behavioural science to enhance a smarter use of resources and a more responsible behaviour of hosts.
By 2025/2030, we expect to have produced and tested behavioural science-based solutions related, among other topics, to circularity in the hospitality industry. These solutions will be brought to the attention of policy makers at different levels, for their scale-up and adoption in public policies. They will also be disseminated to hospitality practitioners who may be interested to replicate them.
> What is behavioural science and why is it relevant?
""Behavioural Science is the systematic study of human behaviour and the design of strategies to intentionally and verifiably change it, leveraging psychological insights and experimental methods from a variety of disciplines, including behavioural economics, psychology, decision science, sociology and neuroscience. In short, it is the science of what we do, why we do it and how we can change it."" (Source: Applied Behavioural Science Academy) 
Much of what we do to make tourism policies and practices more sustainable depends of human behaviour (visitors flows, seasonality, littering, choice of less sustainable travel options...). The knowledge of the human brain, its functioning and what's behind human behaviours can therefore make a huge difference when we want to encourage a particular behaviour and enhance the sustainability of our tourism services. That's why the application of behavioural science to tourism sustainability has a great potential. 
For example, in the hospitality industry there can be room to test solutions based on behavioural science to reduce food waste or plastic use, or optimise the use of water and energy.",Published
113,7,"Continue developing the Sustainability Charter of the Azores, that aims to support the adoption of the Agenda 2030 principles in an inclusive and comprehensive way in the different sectors of society. The Charter is aligned with the 17 Sustainable Development Goals, and with a fundamental role for its materialization in the Azores. With this project, we support small and medium-sized companies in all sectors (also Tourism sector) in the implementation of sustainability reports (reporting ESG indicators) and in the adoption of good sustainability practices through sustainability training workshops and capacity building training sessions in all 9 islands. Our goal is to achieve at least 300 subscribing entities by 2023.",Published
114,7,". Catalonia Tourism Climate Action Plan: Catalonia signed the Glasgow Declaration on the January 2022 expressing the commitment of the Directorate General for Tourism of the Catalan Government and the Catalan Tourist Board, to develop together the Catalan Tourism Climate Action Plan. A working group has been created by the two organitsations, which is also working with the climate change office of Catalonia and the department of territorial sustainability of the regional Government in views of leveraging the commitments already established by the Government and adapting them towards the tourism ecosystem.
We are counting with the support of NECSTouR, which through its CAP aims at supporting its members in their journey towards net zero destinations. 
Target: 2023 present the Catalan Tourism Climate Action plan 

. The Catalan Advisory Council for Sustainable Development (CADS) has prepared a report on the future of the Catalan coast. The report stems from concerns about the coastline and the impacts that global change may have on the short, medium and long term. In includes proposals on who to limit and reduce  the impacts of tourism
•	 http://cads.gencat.cat/web/.content/Documents/Informes/2021/informe-Un-Litoral-al-Limit.pdf 

•	http://cads.gencat.cat/ca/inici/index.html",Published
115,7,"ACTION1: Dissemination of the outputs of the CIRC·HOTEL project on circular economy on the hotel industry and the good practices that have been identified along the project. 
Event for hotel managers and other stakeholders: February /2023 (already carried out)
Publication in a waste professional magazine (1st semester of 2023)
Online availability of the good practices and report (February 2023) (Already available at https://clubemas.cat/ca/Jornades/circhotel.html) 
Publication of an article in English (First semester of 2023).",Ready for publishing
116,7,"Costa Group cruise ships are true floating smart cities: on board we sort and categorize about 100% of waste produced on board (the best in class EU capital, Vilnius, sorts 68%). 
About 77% of the freshwater used onboard comes also from advanced on board desalination and depuration systems. 

We are taking the commitment to design by 2025 a circular path for all the key materials ending their lifespan on board and to further increase the share of freshwater produced through desalination and depuration. 
This could become a source of inspiration for major structures in the hospitality sector.",Published
117,7,"Our concrete action pledge is to establish knowledge sharing events  two times a year on tourism education, especially relating to circular economy in tourism",Ready for publishing
118,7,"ETQA has developed a database that contains (should contain) the tourist businesses that have a territorial quality mark if and only if they have passed a self-certification test regarding the ETQ criteria. Speaking of tourism, one must not limit oneself to quality accommodation and restaurant companies.

 It is necessary to go towards the cellars with DOP wines and the farms with certified products; tourism services which, however, do not have any level of certification other than that of reviews.

Concrete target for 2025-2030 Tourist SMEs across Europe in the whole value to be trusted by consumers, providing a European Fidelity Card which will reflect a set criteria related to sustainability, green and quality. 

However, all this holds up if, given the availability of companies, promotion can be promised, which is the thing that most interests them. Difficult topic but which could lead to the creation of a POINTS CARD (fidelity) which is loaded when you buy a product, sleep or eat. Adherence to the card involves certain requirements that all companies must meet. This is something that tends to cost even little because the promotion is done by the certified structures themselves.
This ind of card does not exist so far for the small tourist companies but only for the big chains (more industrial level)",Ready for publishing
119,7,"The Balearic Islands's Government has fixed in its tourism sector law (Ley 3/2022 de medidas urgentes para
la sostenibilidad y la circularidad en el turismo) the obligation for every hospitality company to integrate
circularity into its governance system, by defining and setting the minimum content of a Circular Strategy. 
No sector can be circular on its own. Despite this, Tourism is in Balearic Islands the main economic motor (it
accounts itself the production of 25% of its GDP directly, and more than 40% accounting indirect effects),
and therefore absorbs most of the private investment in our archipelago. With this in mind, the policymakers
have designed this obligation in order to boost circular transition, as the hospitality sector has sufficient
traction potential (a long value chain and a huge GDP proportion of Balearic Economy), to make shift its
providers and customers into circularity.
This Circular business strategy consists in 2 parts:
A Circular Evaluation. Before planning our transition to circularity, it's mandatory to understand the gap
between the current state of the business and the optimal circular conditions. To do so, each establishment
must monitor a list of 16 mandatory Key Performance Indicators, grouped under 4 categories or priority areas: Water, Energy, Materials and waste and Alimentation. This circular evaluation has to be updated annually.
Circular Planification: Once the establishment has done its evaluation, it has to commit to several
objectives to improve its indicators, and to do so elaborate five years forward planning, plotting new
investments, processes and formation to achieve them. This planification must be updated, at least, once
every 5 years.
The spirit of this measure is to shape our sector's investment toward circularity, helping the community to
achieve some of the SDG's at the same time the company is improving it's efficiency and reducing its waste
production and resource consumption, boosting also the diversification of Balear Economy..

The measurable target is that 100% of tourist acommodation companies in the Balearic Islands to have a Circular Business Strategy by 2024 and to update it every 5 years.",Ready for publishing
121,7,"IN2destination supports the development of circular economy models in tourism, such as reducing waste, using renewable energy, and supporting local businesses. The company conducts research and analysis to identify opportunities for circularity in tourism destinations, and provides guidance on planning and implementation. IN2destination's concrete target for 2030 is to assist at least 5 destinations in implementing circular economy models in tourism.",Ready for publishing
122,7,"As part of the Taskforce and Perspective Action Agenda, a working group composed of knowledge institutions, industries, NTOs, DMOs and public authorities developed a roadmap: ""Towards climate-neutral tourism"" https://www.nbtc.nl/en/site/knowledge-base/the-road-to-climate-neutral-tourism.htm This roadmap is an exploration of what makes a tourist destination sustainable, how to make this measurable, and ways to make it sustainable. It is a joint process of ministry, CELTH, industries, entrepreneurs, NBTC, DMOs and cities, regions. The roadmap shows the fullest possible overview of challenges, opportunities and obstacles we face as a sector on the road to climate-neutral tourism. The course document will be translated into concrete actions and tools for tourism stakeholders from 2023 onwards. In 2023 we aim to reach 100 destinations on the importance of sustainability and at least 5 cities will develop their own roadmap for sustainable tourism with concrete actions.",Ready for publishing
123,7,"The Tourism Cloud Platform and the Destination Network Open Platform and Ecosystem were designed to disrupt the value chains of global market-dominating platforms, such as online travel agents, which can take between 60-80% of the GOP (Gross Operating Profit) from hospitality and tourism providers. This is not economically sustainable for the destination and their businesses.

The deployment of digital transformation in destinations ensures that destinations and their hospitality and tourism businesses can regain control of their visibility, digital presence, reputation, communication, and distribution. This enables them to rapidly recover from the pandemic, become more resilient, and reduce their dependence on these market behemoths. As a result, more tourism spend will be retained within the destination, leading to the circularity of tourism services in the destination.

The goal for 2025 is to work with at least 50 tourism authorities and destinations to make this feature available to them.",Ready for publishing
124,7,"Region of Attica is selected as a replicating territory at INCIRCLE Project which is financed by INTERREGMED, in order to apply measures of tourism circular economy at the regional unit of the attica's islands. These measures include: giving Incentives for saving energy and reducing CO2 in tourism sector businesses (restaurants, hospitality, transportation etc.), Promotion of e-mobility / sustainable mobility and necessary infrastructures for tourism businesses, Prohibition of use of disposable plastics for residents, public and municipal authorities and tourism enterprises",Published
125,7,"To reduce plastic pollution and reverse the trend of climate change SFE launched the ocean friendly restaurant campaign. In the food service industry, business models can be improved to reduce food waste, stop excessive use of plastic, and support local, organic producers. Ocean Friendly Restaurants is a program to assist restaurants owners in an eco-responsible transition within their daily offerings, operations and environmental outlook. Its objectives are:
Establish an inclusive program criteria that is accessible, inviting, and allows a variety of restaurant models to make sustainable changes that are appropriate for their unique business.
Give citizens more transparency into the food service industry and the opportunity to choose restaurants that support their eco-responsible values.
Reduce the environmental impact of the food service industry by following the adoption of targeted legislative measures.
It this campaign is Europe wild, it will be more specifically spread on touristic coastlines to ensure the pursuit of a global effort towards Ocean protection by restaurants. more specifically with our partnership with the Nouvelle-Aquitaine region (see topic 12), we aim to propagate this campaign through the more than 700km coastline of this region by 25025.
SFE also works with hotel companies as a free plastic hotel is in the making with the intercontinental hotel of Marseille. Moreover the idea is to make an exemple of it to share it success story with the hotel industry and have, at liste, more than 30 plastic free hotel by 2030.",Ready for publishing
126,7,"We seek to invest in sustainable circular economy focusing on waste and energy. We identify, coach and mentor innovators and entrepreneurs through our engagement with university, incubators and accelerators. Once we identify scalable solutions with the right team we seek to be their first investor. By 2025, we hope to invest in at least 1 company in this arena.",Ready for publishing
127,7,"MONITORING CIRCULAR SERVICES IN TOURISM
Current situation: In the segment of circular services development, the City of Zagreb does not have sufficient data available, so that a system needs to be set up to monitor the indicators of sustainability measuring. The system would provide environmental indicators for monitoring: consumption of water by tourists compared to the consumption of water by local population; consumption of energy by tourists compared to the consumption of energy by local population, waste water share, production of municipal waste by tourists etc. 
Measure: A system of sustainability measurement will enable the monitoring of the environmental indicators relevant tourism industry; it will also ensure better management of tourism sustainability by stimulating tourist sector to act towards sustainability.
Objective: Reduction of tourist industry ecological footprint, reduced food waste in service industries, more efficient use of water and pollution and minimisation of environmental damage and consequences by 2023.",Published
128,7,"• TUI will further implement closed-loop systems in which raw materials, components and products loose as little value as possible through the use of renewable energy resources. 
• TUI will continue to raise awareness amongst employees on the importance of advancing towards a circular business model by holding information and workshops events with experts. Up to today more than 200 colleagues have joined learning sessions regarding circularity. For 2022 10more learning sessions are planned. 
• TUI will further reduce unnecessary and problematic single-use plastic items. To determine which sustainable alternatives are most suitable and accepted amongst holidaymakers TUI Group has launched a project in summer 2021 in cooperation with the sustainability initiative Futouris. The programme aims to use more sustainable alternatives in certain guest rooms in two TUI Hotels on the Balearic Islands. The effectiveness will be measured by using guest surveys and successful measures will be transferred to other hotels, starting from 2023.",Published
129,7,"o	UNWTO will follow the implementation of Glasgow Declaration on Climate Action (https://www.unwto.org/the-glasgow-declaration-on-climateaction-in-tourism) and publish progress reports annually
o	UNWTO together with UNEP will follow the implementation of Global Tourism Plastics Initiative (https://www.unwto.org/sustainable-development/global-tourismplastics-initiative) and publish progress reports annually.",Published
130,7,"Goals:
-	The material footprint of tourism businesses decreases by 30% by 2030. 
-	Tourism businesses in Flanders reduce their consumption of single-use plastics.
-	The total number of businesses with a Green Key label increases by 44% by 2030 and 8% by 2024, compared to 2022.
-	The number of locations with a Blue Flag label increases by 18% by 2030 and 3% by 2024, compared to 2022.
-	Every concession and project financed by Visit Flanders complies with the sustainability conditions specified in the agreement.
-	Of the core conference locations  in the conference cities and the conference locations financed by Visit Flanders, 25% have a third-party sustainability certificate in 2024 and 100% in 2030. 
-	All conference locations that are part of the Flanders Heritage Venues and Special Meeting venues follow a sustainability training course in the context of the support programme. 
-	As of 2023, every event and conference we support will operate based on a sustainability framework provided by us, in order to optimally reduce our ecological footprint.

Actions:
2.4.1	Together with a strong partner such as ‘Vlaanderen Circulair’, we develop projects and programmes to make tourism businesses in Flanders more circular in the future. 
2.4.13	We raise awareness among our visitors, together with partners inside and outside the tourism sector, about local production and consumption, single-use plastics, food waste and reusable materials.",Published
131,8,To implement a pool of different measures to contribute to reduce the impact of Carbon footprint in our business and to establish a communication channel among our customers to validate and evaluate the different measures. The target is to implement at least 3 concretely applicable validated measures by year 2023 and disseminate them to potential users by end of 2023.,Ready for publishing
132,8,"AViTeM will contribute to this topic by enhancing its ongoing cooperation work through EU cooperation projects, with other organisations, local/regional/national institutions, associations, businesses across Europe and the Mediterranean. These projects will include those directly supporting the green transition of SMEs.
By 2025/2030, we expect to have implemented at least one project aiming to support SMEs in testing solutions that allow them to enhance their green transition.",Published
133,8,"There are 2 different contributions on this topic.
Green transition of tourism companies :
We commit to operating our business sustainably and building a culture of sustainability. 
We are leading by example by setting carbon reduction targets in line with climate science guidance and by empowering our people to make sustainable choices in their day-to-day work. Using 2019 as a baseline, we have used the Science-Based Targets Initiative (SBTi) criteria for a 1.5C future to develop short and medium-term reduction targets.
 Measurable targets:
- 95% reduction in scope 1* & 2** emissions by the end of 2030 from 2019 baseline 
- 50% reduction in scope 3*** emissions by the end of 2030 from 2019 baseline 
- Achieve net-zero by 2040
 
*Scope 1 emissions are natural gas used in offices, fuel for leased company vehicles
**Scope 2 emissions are electricity from offices and data centers
***Scope 3 emissions are purchased goods/services, business travel, employee commuting

Green Transition of tourism SMEs:
We are committed to making it easier for travellers to book more sustainable trips. Supporting tourism accommodations in developing their sustainability programmes, while recognising those who have already made significant efforts to improve the sustainability of their operations. By showcasing these efforts on our platform (increasing the supply of more sustainable travel options), we aim to make it easy for travellers to book more sustainable travel. Today only a small number of  tourism accommodations have invested in existing sustainability certifications.
 
We have launched the  Travel Sustainable Programme that has 2 central components: 
1) Educating and raising awareness amongst tourism accommodations on their impact in the environment they operate in. Initially 32 sustainability practices have been independently validated as impactful. We have been working with the Global Sustainable Tourism Council, Travalyst, Sustainalize and other sustainability experts to share what properties can do to make positive change in the industry. Through the Booking.com Sustainability Handbook, available in 30 languages, Booking.com supports partners to understand which practices may make more sense to them, what impact they will have; sharing tips and best practices. The objective is to get accommodations started on sustainability.
2) A  badge and filter on our product. The badge is awarded automatically to accommodations who already have one of 37 3rd party certifications we accept as part of our framework. For those properties that have implemented sustainability programmes or adopted sustainability practices but cannot afford or commit to the requirements of a 3rd party certification, our programme will award a badge if they reach a sustainability impact threshold, assigned per continent and independently validated as part of our framework.  Travel Sustainable is an evolving programme, designed to make sure that no accommodation however small, is left behind in the sustainability transition. It will continue to evolve to drive forward the sustainability agenda.
We believe the badge will provide credible recognition of impactful sustainability efforts for more properties worldwide and provide travelers with a transparent, consistent and easy-to-understand way to identify a wider range of more sustainable stays.
 
With our programme we will make sustainability more appealing and accessible to even the smallest accommodations by:
A free, large-scale, trusted and easy to understand sustainability label which matches traveller intent (see page 5 of our most recent Sustainable Travel Report) while reducing some key barriers for sustainability adoption for SME tourism accommodation providers (such as investment, information gaps or time to implement), increasing the likelihood that more accommodations can and will enhance their sustainability offering.  
Tailoring the sustainability journey and support provided to reflect the more limited resources and investment often available to SME accommodations.
Providing alternative approaches to assessing the sustainability of an accommodation e.g verified through a combination of innovative tools including customer reviews, on-site checks and AI, and thereby breaking down the cost barrier to certification.
 Since its launch date +116.000 properties now have the badge and hundred of thousands properties now participate in the Travel Sustainable program.  Going forward, we will continue to expand our existing Travel Sustainable Handbook and sustainability education programs for accommodations to tailor support based on their maturity level and local context.
 Measurable targets: 
- After establishing a baseline in 2022, we will announce a target for sustainable bookings made by our customers in 2023. 
- Launch and evolve the Travel Sustainable program for accommodations, cars, rides and flights by the end of 2023",Published
134,8,"The first axis of Bordeaux roadmap is ""assisting tourist attractions and facilities in transitioning to responsible
practices"". More and more travellers are appreciative of the efforts made by tourist services to fulfil sustainability commitments. Transition takes time. It is therefore important to assist professionals across all sectors (wine tourism, river tourism, gastronomic and lifestyle tourism, business tourism, etc.) in improving their
practices.

10 actions will enable us to achieve these objectives by 2026. This axis is aligned with the Sustainable Development Goals 7, 9, 11, 12, 13, 14 and 17. 
27 indicators are related to these actions, with objectives such as: 
- 50% of professionals who are members of the tourist office to join a sustainable approach in 2024 and 80% in 2026
- Implementation of shared solutions for supplier's waste management in 2024
- A 10% increase in sustainable wine tourism offers per year on visit-bordeaux.com

More information about this axis: https://fr.calameo.com/read/005365752988738931087?page=32",Published
135,8,"ACTION 2: Work at regional level to ensure that hotel classification regulations facilitate the adoption of good practices and thus enable businesses to make their activities more circular and a reduce carbon footprint.
Comparative study of hotel classification regulations in Europe to identify key aspects with a view to the circular economy (February 2023).
Contact and communication with the Waste Agency of Catalonia to channel possible comments on the drafting of the future law through this administration (March 2023).
Contact and formal communication to the Directorate of Tourism of Catalonia to inform about options to be taken into account in the revision of the regulations (April 2023).
Active involvement to the participation process (if any).",Ready for publishing
136,8,"Reaching indispensable objectives under the banner of innovation, integration, environmental protection, increased competitiveness and specialisation of the tourism system aimed at supporting the tourism ecosystem through the sharing of best practices. 

CNA Turismo e Commercio has already started a training cycle for the enterprises on these topics with the involvement of regional and national public decision-makers. The training cycles  will be carried out throughout 2022 and 2023.",Published
137,8,"Costa Cruises, through its Costa Crociere Foundation, is pursuing the ""Traditions of the Future"" project with a view to preserving and enhancing the traditional artistic trades at risk of disappearing in Italy.
The project, carried out in cooperation with Italian Foundations, offers training courses and paid internships in ateliers.

We are taking the commitment to extend the project by 2030 to France and Spain and to young artisans  from a larger number of European member States. .",Published
